CBSE GRADE 4,CBSE GRADE 5,CBSE GRADE 6,CBSE GRADE 7,CBSE GRADE 8,CBSE GRADE 9,CBSE GRADE 10
,,,,,,
Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,Video I'D
13124,15593,"13710,5609",13657,"13060,18241,5613","15729,13037,13038",13145
"4745,4081,8563",12641,"15333,15334","18212,13291,8545,6156","13719,13723","15164,18245,18246",no video
"13248,3535","15594,15595","6333,15853","15738,15740,15741","18243,8657,8107,5622,13131,13132","15521,17352",18228
18227,16750,15333,"10236,10224","15274,13725",17953,"18229,622,6648"
,,,,,,
,,,,,,
,,,,,,
18298," 15593,15597
","4697,18300,18299,18301
","13933,614","3450,18305,18306
","15069,18291", 18145
"15408,15409",8550,"11801,8280","10371,18290",17330,No video,"6648,5543"
560,"15598,15599","3437,5750","614,14127","9907,18307", 15521,"15541,14280,5854"
 15410,"8550,16673",11800,8220,11394,"18309,3476,18310","18314,18212"
" 16497, 13117","7220

","15177,18302,5116,18303,4308,18304","14127,614","18308,4704","13956, 14331,13957, 13960, 13963,13964
","17699,12634"
"15408,15411
","8550,16673",8280,"18137,18290",,14826,
,,,,,,
"13117,13116", 7220,"4308,4187",15738,"3587,5508,5528","4457,13304, 13137

","18391,18392"
 15410,"16518,16519,8388


","6507,11763",                       18390,No video,4472,"18212, 18314"
13117,"16748,16749,748, 7174
","4435,8260,15771,18384",18386,"5572,14604,14592

"," 13137,13138

","17206,18393"
"15409,15410"," 8388
",No video,"13772,38",No video,"15036,14849,15129"," 12773, 12474,12475,12476,18394
"
,,,,,13137," 13140,13141, 13142, 13144

"
,,,,"18387,16548,18388,18389",,"18396,5182,18397,18398"
,,,,,,
No video,"569",No video,No video,"3587,18602,18603,5508,5528
","15764,18577","18579,18580,18581"
"16838, 12414, 12415
","16520,16521,16523,16524,8388,16525



","589,18574","38,18598,18599","15087,6259,15090
", 18604,"18582,11832"
" 4972"," 16672, 10767,3787
","16156, 16157,16158,16159

","16939,15294
","3587,5572","859,18578,15764","18772,18584"
"12415,12416","18594,18595,18596,18597,4371","589,18576"," 18600,18601
","15970,15977,15978,817","11385,11386","3769,18585,18586"
"16357,16356,16358,16359",4540,,"13956, 14331, 13957, 13960,13963


",,,
,,"3566, 13810, 13836
",,,,
,,,,,,
18791,"10768,10767,3787","14124,14320",13957,"15131,15132,14751,15133","13957,18419","17206,18393"
12412,8302,"13813,13840",15131,"13743,13753,13755","16684,16686",6648
no video,"4540,11112,","14324,14328,14329","5469,14331,6550","14751,14753,17116",4457,18391
"17094,12414,12415,",8302,"3566,13810","38,18599","15276,15371,15286,15287",12811,"18212,16377"
,,,,,,
,,,,,,
,,,,,,
562,"15111,15112,17424","14320,14328,14324,14329",no video,"14781,18855,5535,14774",15764,"16323,16324"
"12416,12415","579,16367","13836,13813",17116,"13979,5184,14197","14850,18857,8706","7000,9851,9952"
562,"17422,11216,17423","4952,12422,123",no video,"17114,17115","15005,15006","18858,18859"
"17095,12412","579,12844",no video,16707,"15286,18856","14702,15164,18604,14833","18860,13112,18861,18862"
,,,"13974,15761,11410",,17342,13402
"16167,16168,16169","12843,12722",no video,,"13985,13987,13990",,no video
,,,,,,
6478,"6794,16174,1459","15632,15634,15635,15636,15637","14940,14941",no video,"12848,13037",18859
"16169,16170","16019,16020","15333,15335,15334",5512,"13987,6299","14141,10771","18937,18860"
6478,"16160, 16161","15639,15635","14942,14940","15468,15469,15471,15474","14628,14629",13402
15954,16021,15865,"3404,6648","5184,11405","18871,18936",644
,"15954,16613",,"15276, 15278, 15281, 15282, 15286, 15287 ",,,11001
"15954,16613",,"13819,13820",,"10738,18935",,
,,,,,,
"4885,13492",19044,"18924,339,18925,18926","11160,10738 11491
","15668,15475,15972",14629,19119
"6794,17822","8583,5695",29,10319,19049,No video,10811
No Video," 15855,16936,16937

",  339,"        442,19046,3664","19117,19118",19050,19120
"15854,15855","19094,19095,19109
","29,6072
","         11238, 11276
","15286","14886,8541",3462
"16165, 16166,19331",,No video,,No video,,
19043,No video,,"11277",,14142,
,,,,,,
" 7903","589,3566,19045,809","13598,13599,13600","   19046,3664,19047,19048",No video,No video,19119
"58,935,661,381,019,300"," 16193",19096,"19353,19354",19049,"19363,19364,19365
","4869,9860, 4869
"
"7903,16142","19350,19351","16486,16487,16488,13598,16489","19359,19360",19361,19366,"19367,19368"
"15855,16936,16937

","19346,19347","
19352"," 19355,11875
",19362,"15135,14728,15136,15137",No video
,,,,,,
,,,,,,
,,,,,,
"5112,19511",,,"19517,3664,19518","666,4520,19524",,
"589,3566,19512,809","3931,19514","19515,19516,5489","19519,19520",,,
5112,"13127,13276, 13277
",,No video,"4520,19525",,
"16741,553,10196","13486,3931,3931",No video,"19521,19522,19523",,,
,"13115,13288,13289, 13290
",,,No Video,,
"
19513",,,"15851,15852,

",,,
,,,,,,
ICSE  GRADE 6,ICSE  GRADE 7,ICSE  GRADE 8,ICSE  GRADE 9,ICSE  GRADE 10,,
,,,,,,
"16932,15585,16360,8128,16363","15518,15038,15520","17291,331,17292,17293","15440,15441,15442,15443,15444","8305,17298",,
"16167,17285","7656,15655,15656,15657","13653,13657","14992,15326,15327,13836,13928,14712","9859,17300,10004",,
"17286,17287,17288,15437","13663,13653","17294,17295","17296,17297,14728","16872,16873,17301,4793",,
"15045,11044,15047,15050","4295,15655,15778","14196,14036,14023","13661,15385","17302,5533,5784",,
no video,"17289,17290","7656,15656,15657",no video,"15205,17296,17297,14728",,
"15045,15047,15050,15054,14441","14795,14797,14799,14800","14026,14029,14034,14036","15136,15137,17306,17307,14713,17308,17309","11798,17303,17304",,
,,,,,,
"9527,17367,17368",9349,17295,15164,"17305,17369,17370",,
"15946,1459,15954",15164,"14005,14007,14023","13674,13664,632,17361,13671","17300,10004,17302,5533",,
,,,,,,
,,,,,,
"9527,17368","15955,17290",14142,"15443,6059,6101,15666,9065","17397,6539,17398,17399,17400",,
"15952,15953,15954","15129,14833",no video,17396,"17300,6113",,
,,,,,,
"15171,15173,331,15177,15178","13951,13955,13959,8089,13969","14789,14792,14793",no video,"15135,15137,15456,15461,15462,15463,15464",,
"4293,16170","15164,15129,14833","15961,14029,14034","17079,11053,11054,11055",6113,,
"15429,15430,15431",8618,17415,"7822,7362",no video,,
"15337,15341",17286,"15298,15302,5013",630,"17300,7489,5471,17319,12383",,
"15432,15433,13609,15435,8663","606,13969",no video,"14849,14833","17426,5182,17427,17428",,
17420,no video,no video,"11054,11055",17421,,
,,,,,,
"14374,14375,14376,14378,616,14476","14005,14325","17449,15493","14077,14081,14091,14096,14700,14107",17450,,
"17438,15343","17294,17295",5013,"9890,10739",10004,,
"13701,13703,13705,13709,13711","790,4997",17403,"14470,14849,14833","174,275,374",,
"15346,10520,10521",no video,"15358,15359,15361,13719",10739,17439,,
,,,,,,
,,,,,,
,,,,,,
"12739,12742","11231,6583","14199,11740,11741",17496,"17497,17498",,
10521,"13984,13986,13988,13992,14003,14008","13694,13417,11394,13725,13723","14983,8806",17439,,
13701,"14965,15324","17475,14797,14799,10734","17275,17276,17277,17278",no video,,
"1055,17493,17494","14787,14867,14796","13719,13695,17216,13725","3474,14283,6299",no video,,
,"15327,13250,13251","16402,16403,16404","4493,11742,5543,11743","15261,15488",,
5552,,,,,,
,,,,,,
"12332,12333,11739,11738,11737","13653,8089,10368","13609,15436","14144,14145,14229,14153","11412,14636",,
