CBSE GRADE 4,CBSE GRADE 5,CBSE GRADE 6,CBSE GRADE 7,CBSE GRADE 8,CBSE GRADE 9,CBSE GRADE 10
,,,,,,
Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,Video I'D
,No video,,"
19146,19148","
19153",,
,,,,,,
"19384,19385,19386","19131,19132
","644,11422,11422,4493,11624,19465,10319




",No video,"
19144,19145",,
No video,No video,"19157,19158,19159,19160"," 17832,19389","
19390",,
,,19466,,,,
,,"14196,14036,14023,19387,19388",,,,
GUJ  GRADE 6,GUJ  GRADE 7,GUJ  GRADE 8,GUJ  GRADE 9,GUJ  GRADE 10,,
,,,,,,
,,,,,,
Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,,
"4293,12292","15333,15335,15334","4526,13640,4619,13645","15333,15326,15327,15391,15329,14712","17279,13664",,
"16156, 16157, 16158, 16159","15771,5967,4697,13610,15945,17273","13836,6357,13657","631,15655,15656,15657","17280,17281,8598",,
"15343,15341","14187,14182,14184","4526,13640,13641","13661,16349,14482,15023","17282,17283,17284",,
"16172, 16173","15944,13609","14196,14036,14023","16195,16196,16197",3404,,
,,,,,,
,,,,,,
,,,,,,
"15346,15354,15356",13650,"4619,13645","15389,4695,632,10204,10278","7822,17375,7362",,
"17325,17326","13613,13609","15961,17274,14034,14036","14141,10771","17360,17365,17366",,
"15343,15341,13728",606,"7385,13645","13664,10360,17359",10944,,
"16158,16159,16173","10023,5116,322",615,"17275,17276,17277,17278",17361,,
"15341,15346,13728","606,6287",13645,"6914,15655,15778","8598,16344,17327",,
16391,5116,"14196,7966,14026",14142,"10727,10811",,
,,,,,,
15356,"13653, 13657","13667,13670,13672,13673",630,"10807,10759,17360",,
"16391,15100","15437,15438,13757","15961,17274,14034,14036","14151,14152,17401","94,10811",,
"9841,11816,9840","13653,13663","14206,14208,14209,14212","10512,10513,10225","10760,10761,10517",,
" 15100","13759,13760,13761,13763","13652,13655","14805,14806,14799,14800","17376,17362,17363",,
"15642,9840,10002,10003","13653,13676",17436,"10225,633","16966,14089",,
"15119,15121,15120,15126,15127,13598",13765,"13658,13660,13662","15135,14728,15136,15137","16344,15467,642,14015,13181,6652",,
,,,,,,
"810,10147","13653,15956","13701,13703,13705,13709","630,633,13664","14215,11001,17443,11002",,
"13598,13599,13600","16151,15957,15959","13655,13665,13660,3861","9542,14797","10944,17431",,
"15878,7169,6962",15044,"13711,13713,13715,13717","13658,17442,13660","17443,17444,17445",,
"16486,16487,16488,13598,16489","10722,15966,6532,10723,15967","17459,13660","15461,15462,15463,15464,15465","10886,10851,10852,10853",,
"15644,3651","16939,15294","17436,17404,13709",15008,11391,,
"13598,16486,13600","10721,45,9064","9940,8593","14754,14801","11412,14636,9899",,
,,,,,,
16489,"15509,15510",618,"15366,15368","17491,17492,11411,11232",,
"11441,17488","15958,10723","325,8517,15903,15904",12420,"10853,781,10689,944",,
"15138,15139,15140,15141,15142","16939,16941,16889","16130,16137,13612",9857,11391,,
"15946,15947,15948","13618,13619,13620,17490","8517,9940,10148","15188,15167","17559,5988",,
,"15510,5661",,9857,,,
"15946,15952,15953,15954",,"8517,15903",,"651,10944",,
,,,,,,
10370,3549,"3970,16134","15004,15005,15006",11391,,
"16160,16161","13622,611,11721,13620,6997",10148,NO VIDEO,"12947,928",,
"14870,15140,15141","15266,15271","3970,16140,5331","15004,15005,15006","11888,11889,11887,11734,11735",,
"16174,16175,16176,16177,16178","17557,17558,611,12855","16854,16855,8360,16856",631,"651,10944",,
"15157,11631,17673","10374,15271,11390,5702",5331,NO VIDEO,11884,,
15946,11421,"16908,16909,16910,16911,16964","16197,14728,17811",no video,,
,,,,,,
"4648,12693,12692,17673,12706","5702,11390,11395",5331,"17340,17341,17342","12629,17530",,
"16392,16393,16394,16395,16396","14783,14784,14785",no video,"11413,11625",12835,,
"8625,17673,15157","5702,11390,11395","618,3970",17341,12771,,
17669,"14786,17670","16545,16546,16547,16548","15164,17981,12774",15208,,
"13615,13617",no video,5331,,"17837,17838,11884",,
no video,no video,"16650,7079,7015",17650,"6380,3859",,
,,,,,,
13615,"15521,15522","16770,16771",No video,"12629,17823",,
"15899,15900,7615,15901","14360,14361,14362,14363,14364,14365","16545,16546,16547,16548","15164,18245,18246",17956,,
"6880,17939","17940, 17941,16054,17942",3396,"4990,13036","12770,12771",,
"16044,16045,5127,16047,16048,16083","6220,5861","17076,17077, 17943, 17944,17945,17946","13781,13784,13785,634","17967,17968,17969,17970",,
,,,,,,
,,,,,,
,,,,,,
"16702,16703, 13615,16705

"," 15521, 17940, 15521
"," 7352,11007","15521,17352
",No Video,,
"16045, 16048", 5861, 17947,13786,5988,,
No video,"15280,15067, 15062 ,15068","5543, 5103","12848, 18104,18105
","13146,17993

",,
No video,"14343,14368,14358,14369, 14359, 14370
","15358, 15359, 15361
"," 6964,13782, 16611

","13139,12835",,
15406,,"5142,12325, 5103
"," 15729,13037,13038

","18106,16322",,
"15333, 15334, 15335
","14368,14760, 14368,14778,14779,14780"," 15272,15273","14826
",No Video,,
,,,,,,
"15406, 15407"," 18011
",5103,"15521,17352",13145,,
"15333, 15334
","6156,16984","13719,13723","17671,12756,6964","17674,17675",,
"13710,5609","15738,15740,15741","13060,18241,5613","15069,18291",18228,,
15333,"18212,13291,8545,6156","15274,13725","15036,14849,15129"," 12773, 12474,12475,12476,18394
",,
,,"18243,8657,8107,5622,13131,13132",15521,18145,,
,,,,,,
,,,,,,
15100,"13933,614","3450,18305,18306
","13956, 14331,13957, 13960, 13963,13964
","15541,14280,5854",,
" 11801,8280
","10236, 10224
",No video,18604,"18582,11832",,
"6333,15853","614,14127","9907,18307","18638,18639,18640","18643,18641,18642",,
11800,"10371,18290",No video,"17953,17954,17873

","18229,622,6648",,
,,,,,,
,,,,,,
,,,,,,
"4697,18300,18299,18301
",18386,"18308,4704"," 13137,13138","18391,18392",,
8280,8220,"15087,6259,15090
",no video,"6648,5543",,
"3437,5750",No video,"3587,5508,5528",13137,"17206,18393",,
"15855,16936,16937,8366","18137,18290","15970,15977,15978,817","12845,4472","17971,17972",,
,,,,,,
,,,,,,
,,,,,,
"15177,18302,5116,18303,4308,18304","13956, 14331, 13957, 13960,13963

","5572,14604,14592","15764,18577","13140,13141, 13142, 13144

",,
"589,18574",18390,"13743,13753,13755","12861,16128,17966",16377,,
"4308,4187",13957,"3587,18602,18603,5508,5528
","859,18578,15764","17206,18393",,
"589,18576","13772,38","13979,5184,14197","14702,15164,18604,14833","18860,13112,18861,18862",,
"4435,8260,15771,18384","5469,14331,6550","3587,5572","13957,18419",18391,,
"3566, 13810,13836
",,"15286,18856",,"18396,5182,18397,18398",,
,,,,,,
no video,no video,"15131,15132,14751,15133",4457,"16323,16324",,
"13813,13840","38,18598,18599","13985,13987,13990","18945,18946","18937,18860",,
"16156, 16157,16158,16159",no video,"14751,14753,17116","15764,18577","18858,18859",,
no video,"18600,18601","13987,6299",17953,"3769,18585,18586",,
,no video,,"15005,15006",13402,,
"15333,15335,15334",,"5184,11405",,,,
,,,,,,
"14124,14320","13974,15761,11410","14781,18855,5535,14774
","14628,14629"," 18859
",,
"13819,13820
","15131"," 10738,18935",No video,6648,,
"14324,14328,14329","14940,14941","17114,17115","14629","13402",,
29,"38,18599",19049,"18123,18124","18314,18212",,
"14320,6520,14328,14329",,No video,,,,
, 17116,,"
19170,19171",No video,,
,,,,,,
"19395,19396,19397
","14942,14940","15468, 15469
","14629"," 19119,19332",,
"29,6072
", 16707,10382," 18309, 3476,18310","
19398,18314",,
"19486,19488","15276, 15278,15281
","15668,15475, 15972
",No video,"
19399",,
KA GRADE 6,KA GRADE 7,KA GRADE 8,KA GRADE 9,KA GRADE 10,,
,,,,,,
,,,,,,
Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,,
"16156, 16157, 16158, 16159","15333,15335,15334","4526 , 136 ,4619","15333,15326,15327,15391,15329,14712","17279,13664",,
"4293,12292","15771,5967,4697,13610,15945,17273",13836635713657,"631,15655,15656,15657","17280,17281,8598",,
"16172, 16173","14187,14182,14184",45261364013641,"13661,16349,14482,15023","17282,17283,17284",,
"15343,15341","15944,13609",141961403614023,"16195,16196,16197",3404,,
,,,,,,
,,,,,,
,,,,,,
"17325,17326",13650,,"15389,4695,632,10204,10278","17360,17365,17366",,
"15346,15354,15356","13613,13609",,"14141,10771","7822,17375,7362",,
"16158,16159,16173",606,461913645,"13664,10360,17359",17361,,
"15343,15341,13728","10023,5116,322","15961 , 17274 , 14034 , 14036 ","17275,17276,17277,17278",10944,,
16391,"606,6287",738513645,14142,"10727,10811",,
"15341,15346,13728",5116,615,"6914,15655,15778","8598,16344,17327",,
,,,,,,
"16391,15100","13653, 13657",13645,630,"10807,10759,17360",,
15356,"15437,15438,13757",1.59612E+19,"14151,14152,17401","94,10811",,
" 15100","13653,13663",1.36671E+19,"10512,10513,10225","10760,10761,10517",,
"9841,11816,9840","13759,13760,13761,13763",14196796614026,"14805,14806,14799,14800","17376,17362,17363",,
"15119,15121,15120,15126,15127,13598","13653,13676",1.42061E+19,"10225,633","16966,14089",,
"15642,9840,10002,10003",13765,1365213655,"15135,14728,15136,15137","16344,15467,642,14015,13181,6652",,
,,,,,,
"13598,13599,13600","13653,15956",17436,"630,633,13664","14215,11001,17443,11002",,
"810,10147","16151,15957,15959",136581366013662,"9542,14797","10944,17431",,
"16486,16487,16488,13598,16489",15044,1.37011E+19,"13658,17442,13660","17443,17444,17445",,
"15878,7169,6962","10722,15966,6532,10723,15967",1.36551E+18,"15461,15462,15463,15464,15465","10886,10851,10852,10853",,
"13598,16486,13600","16939,15294",1.37111E+19,15008,11391,,
"15644,3651","10721,45,9064",1745913660,"14754,14801","11412,14636,9899",,
,,,,,,
16489,"15509,15510",174361740413709,"15366,15368","17491,17492,11411,11232",,
"11441,17488","15958,10723",99408593,12420,"10853,781,10689,944",,
"15138,15139,15140,15141,15142","16939,16941,16889",618,9857,11391,,
"15946,15947,15948","13618,13619,13620,17490",3.25852E+16,"15188,15167","17559,5988",,
,"15510,5661",,9857,,,
"15946,15952,15953,15954",,8517994010148,,"651,10944",,
,,,,,,
10370,3549,161301613713612,"15004,15005,15006",11391,,
"16160,16161","13622,611,11721,13620,6997",851715903,NO VIDEO,"12947,928",,
"14870,15140,15141","15266,15271",397016134,"15004,15005,15006","11888,11889,11887,11734,11735",,
"16174,16175,16176,16177,16178","17557,17558,611,12855",10148,631,"651,10944",,
"15157,11631,17673","10374,15271,11390,5702",3970161405331,NO VIDEO,11884,,
15946,11421,"16854,16855,8360,16856","16197,14728,17811",no video,,
,,,,,,
"4648,12693,12692,17673,12706","5702,11390,11395",5331,"17340,17341,17342","12629,17530",,
"16392,16393,16394,16395,16396","14783,14784,14785","16908,16909,16910,16911,16964","11413,11625",12835,,
"8625,17673,15157",no video,5331,17341,12771,,
17669,"14786,17670",no video,"15164,17981,12774",15208,,
"13615,13617","15521,15522","618,3970",,"12629,17530",,
no video,no video,"14936,14937,14946,15510,15511",17650,"6380,3859",,
,,,,,,
13615,"17940, 17941,16054,17942",5331,No video,"12770,12771",,
"15899,15900,7615,15901","14360,14361,14362,14363,14364,14365","16545,16546,16547,16548","15164,18245,18246",17956,,
"6880,17939","15521,17940","16770,16771","4990,13036",No video,,
"16044,16045,5127,16047,16048,16083","6220,5861","16650,7079,7015","13781,13784,13785,634","17967,17968,17969,17970",,
,,,,,,
,,,,,,
,,,,,,
"16702,16703, 13615,16705

","15280,15067,15062,15068","
5103,18345","15521,17352
","13146,17993

",,
"16045, 16048",5861,"16545,16546,16547,16548",13786,5988,,
No video,18011,"5543, 5103","12848, 18104,18105
","     18106,16322",,
No video," 14343,14368, 14358,14369,14359,14370



","17076,17077, 17943, 17944,17945,17946"," 6964,13782, 16611","13139,12835",,
15406,,"5142,12325, 5103
","15729,13037,13038",13145,,
"15333, 15334, 15335
","14368,14760,14778,14780",17947,"14826
",No video,,
,,,,,,
"15406, 15407","15738,15740,15741","5142,12325, 5103
","15521,17352", 18228,,
"15333, 15334
","6156,16984","18448, 10148,8517, 18448
","17671,12756,6964","17674,17675",,
"13710,5609","13933,614",5103,"15069,18291",18513,,
15333,"18212,13291,8545,6156","13652,13655","15036,14849,15129","
16389,647,16390",,
,,,"
18572","15541,14280,18449,5854",,
,,,,"
18229,622,6648",,
,,,,,,
"6333,15853","614,14127","13060,18241,5613","13956, 14331,13957, 13960, 13963,13964
","18643,18641,12634",,
"11801,8280","10236,10224","15358,15359,15361",18604,"
18665,18666",,
"4697,18300,18299,18301
","15738","18243,8657,8107,5622,13131,13132","18638,18639,18640","
18667,18668",,
11800,"10371,18290","15272,15273","17953,17954,17873

","6648,5543",,
,,,,,,
,,,,,,
,,,,,,
"3437,5750",No video,"3450,18305,18306"," 13137,13138","17206,18393",,
8280,8220,"13719,13723",no video,"18396,5182,18397,18398",,
"15177,18302,5116,18303,4308,18304","13956, 14331, 13957, 13960,13963

","9907,18307",13137," 13140,13141, 13142, 13144

",,
"15855,16936,16937,8366","18137,18290","15274,13725","12845,4472","17971,17972",,
,,,,,,
,,,,,,
,,,,,,
"4308,4187",13957,"18308,4704","15764,18577","18772,18584",,
"589,18574",18390,17330,"12861,16128,17966",16377,,
"4435,8260,15771,18384","5469,14331,6550","3587,5508,5528","859,18578,15764","17206,18393",,
"589,18576","13772,38",11394,"14702,15164,18604,14833","
16722",,
,no video,"5572,14604,14592",4457,18391,,
"3566, 13810,13836",,No video,17953,,,
,,,,,,
no video,no video,"3587,18602,18603,5508,5528","15764,18577","18423,11391",,
"13813,13840","38,18598,18599","18387,16548,18388,18389","18945,18946",16897,,
"16156, 16157,16158,16159","13974,15761,11410","3587,5572","15005,15006",18903,,
no video,"18600,18601","16429, 16430, 16431, 16433, 16442",No video,"3769,18585,18586",,
,"14940,14941",,"10762,14073,12636",18571,,
"13819,13820",,16540,,,,
,,,,,,
"14124,14320","
14942,14940","15131,15132,14751,15133","19164,19165,19166","19172,19174",,
 29,10224," 16442, 16430,16433

","11385,11386","6648",,
"14324,14328,14329","10736, 4446"," 14751, 14753,17116

","19167,19168","
19175",,
"29,6072
","38,18599","19161,19162","3476,18123,18124"," 18314,18212",,
"14320,14328,14324,14329,19333",,"14781,18855,5535,14774
",,,,
," 17116",,"
19170,19171,19334","
19176,19177",,
,,,,,,
" 19395,19396,19397
","11160,10738 11491
","17114,17115","19169
","19175,19335",,
"
19096",16707,"
19163"," 18309, 3476,18310","10868, 19398",,
,,No video,,,,
,,19404,,,,
MHGRADE 6,MH GRADE 7,MH GRADE 8,MH GRADE 9,MH GRADE 10,,
,,,,,,
,,,,,,
Video I'D,Video I'D,Video ID,Video I'D,Video I'D,,
"4295,15655,14794","15333,15334,15335","14199, 14200,
","15333,15326,15327,15391,15329,14712","15005,15006,17460",,
"15855,16936,6966","16932,15580,16360,8128,16363","15069,15062,15063,15069,","631,17476","17463,17465,10412,10413",,
"12422,13167","16922,16926,13959,14189","14206,14208,14209,14212
","13661,15023,15834,630","17461,8698,16146",,
"13825,14384",17286,"13036,15280","13060,17473,17474","16876,12323,12320",,
,,,,,,
,,,,,,
,,,,,,
"14794,8625,13369,11631,622,13370,13371","606,11401",,"17361,632,10513,10360","12842,4230,13014,715",,
"13653, 13657","17286,17287,17288,15437",,"17521,16443,17522","16872,16873,16874,16875,16876,16877",,
"13167,12424",16926,"14476,14479,14487,","11053,11054,11055","3872,6076",,
"13281,14380,14384","13984,13986,13988,13992,14003,14008","9008,15280,
","14144,14145,14229,14153","17523,17524,17525,17526",,
"17538, 12600,16173",16160,"11741,7541,17402,14209,","17,577,175,211,752,200,000","12323,17578,12325,17579,13153",,
"13653,15956","14787,14867,14798,6065",15729,"6467,14850,13184,13185","11385,11386",,
,,,,,,
"
11452,10224,17576,11592,10236","15045,9274,15047,11885,15054,11764","13784,17404","11877,10962,630","6284,12733,9921,12842",,
"13819,13853","1839,3404,13988,13992,6065",4933,"14754,8409","11688,13153,17641",,
"11452,10224,17576,11592,10236","15045,15047,15050,15054,15059","17583,17584,17585
,17586,17587,","11054,11055","16146,16322",,
"13653, 13657","
611,11421,11721,4481","4933
","17594,17595,17596,17601,17597","17603,17604,17605,17606,17607,17608",,
"
11592","
15047,15050,15054,4979","17588,17589,17590, 17591,17592,","
7450,10517","17609,17610",,
"13819,13663,13653","
15031","13932,17593,13932,11529","17599,17600","
11896",,
,,,,,,
"17706,17707,17708,17709","16174,16174,16176","16450,17332, 16443

","14301,15516,14521","17720,17721,17487",,
"
13653,7373","
14826",15540,17714,"17523,17524,17525,17724",,
"17707,17710,17711","15512,15513,15514,15056",17588,"
14215,17491,12869,17502,11391","
17609,17610,6420,17721",,
"
15518,15038,15040","11421,13619","15273,15274
","
17473,17474,17715,17577,17716,17717,16443","16456,16684",,
"15851,15852","15515,15272,15273,15274","14898,14901,14903, 14904","14216,13190,13191,14241","17722,17723",,
"
612,16393","11092,17712,17713","15631,15629,15968,15882,","15166,634,17718,17719","
17370",,
,,,,,,
"15400,15401,15402,15403,","5503,17844","17848,6068,13101,17849
"," 17863,17864
","
4762, 17878,17880",,
"
17839,17840
"," 17845,17713","5503,17850,17851
","14,517,145,251,492,200,000","17881,17882, 17885,17888,
17890,17891,17893

",,
"17841,15851","13695,17843","
6220,14335","14236,8530,17858,17862
","17895,17897,17898,17899,17900,
17901


",,
17840,"
16920,16921
","17852,15882","17865, 17866,17867,17868,17873
","3404

",,
,"17846,17847",,               17876,,,
" 5269,17842
",,"15305,15306,15309, 15311
",,"17906",,
,,,,,,
"16432,15634,15635,16434","15730,15732,13931","18015,14745",17619,"18020,17898,4762,18021",,
7220,"11452,10224,18013",18016,"17934,13786,17953,17873","644,6467",,
16434,"16408,16832,7628,16079,16080","11238,11276,11277,14131,14132","17621,16609,17929,17750","17878,4762",,
"17994,15521,16228,17996","14144,17546,10224","14005,14007,14013,14023",17596,"18022,17603,18023,18024,18025",,
"16432,15634,15635,16434",,"
12865",16609,no video,,
,"9845,634,18014",,"14927,14919,14920,14921","
13556,18026",,
,,,,,,
"14374,14375,14376,
14377,14378
","
4752","
631,18141,
18142","
18095,18107,
18096
","4762,18148,11884,4284,
18021,14088

",,
"
18130",No video,"13661,13664,15964,18143
", 11412,"
18149,17011",,
"
18131","
4752","
16305,16569,15817,
16303
","
17750","12629,17823",,
"
18132,18133,18134,18135","18137
","
13668,10513","14525,14922","
18152,18153",,
"
11005",16408,"
16304,17430, 16305","
18144,18145","10949, 11001,12869, 12975,11391





",,
"588,15521,18134,18136","14935,18139,72","
13664"," 14754,15166,18146,18147","18225,18226",,
,,,,,,
"16780,16781,16782,16783,16784,16785,13609","
6287,9840","
15815,18269","13974,11403,15759,13881","14078,9859,17300,645,11404",,
"16226,16436","18266,18267,14935,72","
33,13668,10513","14525,14919","
18081,18082",,
"
16798,13606,16789,16790,16791","15952,11046,15954","
16304,6059","
17510,17572",10028,,
"15855,16936,16937","72,18268","
13664,13668",14687,"
10727,10811",,
,,,,,,
,,,,,,
,,,,,,
"3437,16792,16793","588,15521,18134,18136",18323,"18330,18331,15538,17572","
10004,17302,18029",,
"13819,13820,14321,13853","
16127,72","18104,18105,12848","16214,15262,15263","
5267,18335",,
"
16782,16785,3437,16792","15521,15522","18324,18325,18326","
17572,18332,18333","
14236,9859,17300,645",,
"15333,15334,15335",72,15540,"
5988,18334,10727","
11746,5538,18336,18337,18340,17013,6166",,
"3437,16781",8038,"
18327,18328,18325,16478",,"10004,17302",,
15333,17286,"
51,5829","
15497,15501,15502,15500,15506","
18274,18152",,
,,,,,,
"
4295,10589,18450","
3714","
18327,18325,18329,18455","
18459,18460","
10361",,
"
591,593,3641","
17286"," 13026, 13026, 13083","12691, 5988, 5861, 12410, 12411

","
18469,6166,18470",,
"
12424,12637","
3714","
18456,18457,18458","
18461,18462","
18471,6113",,
3641,"
16947,18451,18452,18453"," 13026","
18463, 18464,18465,18466","8575,18472
",,
,,No video,No video,"
15541,14280,18473,5854",,
,,"13026, 13083
","
18467,18468","
11802",,
,,,,,,
"13368, 592,13369, 11631,622,13370,13371

"," 3714, 18454"," 14206 ,14208,14209,14212
","
18625,18626","
18631,18632",,
"
18617,612,18618","
18622,18623",13026," 15501,15506
","
18633,18634",,
631,"
3714","14476, 14479, 14487,5204
","
18627","
18635,10582",,
"
18619,18621","
18624,18600,18601","13154,13268","1,862,818,629","
18637",,
"17841,15851",,,,,,
,"18137
",,,,,
,,,,,,
"18805,14139,18806,18807","
17391,15913","14065,16304,18810,15442","14522,6275,14523","17205,17206,7383,18812",,
"6209,18808","
16949,16950,18623",14966, 14664,"
10811",,
no video,"
589,3566","
10325,18811,5299","
6275,14524",no video,,
"18809,14946","14134,14135,14136","5037,15354","
18216,18217","18149,17011",,
,,,,,,
,,,,,,
,,,,,,
"11452,10224,17576,11592,10236","14005,790,4997,14007","
13185,13419",6275,"
18632,18635",,
"15333,15334,15335,15336","
14136,14137,14138","14492,14498,14499,14502","63,803,859","
13292,15823,18899",,
"11452,10224,17576,11592,10236","14325,14029,10225,575","16126,16127,18896",6275,"18632,18897,17205,17206,18812,18898",,
"15933,15934,15937,16682","
17161,14138","
14513,14516,14518,14521","
6396","18900,18901",,
,"14005,14007",,"14524,6257","
18898",,
"
10768,10767,7720",,"
8997",,,,
,,,,,,
"3639,19019
","14013,14023",no video,"
19032,19034,18104","
788,19039,19040",,
"
19020,19021,19022","14134,14136","
14513","
19035,19036",19042,,
"
19023,19026,19029
","13624,790",14140,"
19037,19038","19041,8554,19040",,
"
19030","14190,14192","
14513"," 15223,16390,16699

",no video,,
,"15521,612",,"
8379",788,,
"
19031",,"630,33",,,,
,,,,,,
"
19178,19179,19180,19181","
19186,19188","
19202","19337,19209,3705
"," 19039,19040
",,
"
19182","
19189,19190,19191", 13026,"
19210","
19213",,
No video,"
19192,19193","
622",3705,"19041,788",,
"
19194,3496","
19195,19196","16408,7628,16079"," 12691,5861","
19214,19215,19216,19219,19220,19221",,
"
19184",,"5103,19204",,,,
,"
19198,19199,19200,19201",,"
19211,19212","
19223,19224
",,
,,,,,,
"19405,19406,19407,19408","
19197",No video,17750,"
19222",,
No video,"
19409,19410","
19205,19206,19207,19208",No video,"
19418,19419,1942019421",,
,,"19411,19412,1948219483,19484,19485

",,,,
,,"19413,19414,19415,19416,19417",,,,
,,,,,,
TS GRADE 6,TS GRADE 7,TS GRADE 8,TS GRADE 9,TS GRADE 10,,
,,,,,,
,,,,,,
Video I'D,Video I'D,Video I'D,Video I'D,Video I'D,,
15401,"14187,14182,14184",17467,"15333,15326,15327,15391,15329,14712","17279,13664",,
"15343,15341,15351,15354","13615,12565,13617","14196,14036,14023",14065,"17281,8598",,
15402,8618,no video,"13661,16349,14482,15023","17282,17283,17284",,
"17462,13637,13629","12565,16640,16641,16642","15961,17274,14034,14036","14141,14143",3404,,
,,,,,,
,,,,,,
,,,,,,
"15401,17516",606,,"632,10513,13664","10324,10356,17366",,
"15343,15341,13728,15346,15354","167,021,670,416,705",,"15656,631,15657","8598,16344,17327",,
"14843,14845,14846,15783","606,6287",no video,"13664,10360,17359,11053","17361,17519,17520",,
"13728,15341","16151,15957,15958,15959",13664,"15135,14728","7822,17375,7362",,
17517,"7879,13925,13836,16961,13853,14531","4526,13640,4619,13645","17518,630,13664","10807,10759,17360",,
15356,"15965,15966,15967","14026,7966,7450","17275,17276,17277,17278","14453,15944,13609",,
,,,,,,
"14846,13538,17517","13484,608,10228","13640,13641,4526,13645,4619","10225,633","10517,17611,17612,17613",,
"9841,11816,9840,586","
10721,45,9064","5702,15902","14144,14145,14229,14153","
10727,10811",,
"13598,13599","608,10352",13645,"630,633,10225","
10517",,
"15,9840,10002,10003","
12600,11592","13652,13655","
4295,10589,10325","
12705,17614,17615,17616,17617,17618",,
"16486,16487,16488,13598,16331","13624,13631,13633,13631,4997","8305,17298,17299","6001,14302,14308","17619,17621",,
"810,10147","11452,10224,11592,17576","13658,13660,13662","
15136,15137,15461,15462,15463,15464","
10642,15467",,
,,,,,,
"13598,16486,13600",13653,"17561,10963,12742,14206","10762,12336,10764",17749,,
"7169,6962","17747,613","10374,12442,12435,3861","9542,14797","17751,10944,16703,594,17752",,
"13598,16331","13653,15956",no video,"8502,10842,10909",17750,,
7169,no video,no video,"326,11733,7967,7417,9056",10642,,
"17742,17743,17744,17745","
17727,13653","14141,10771","11003,11004","11004,10842",,
"11274,17746","17748,9899","16854,16855,8360,16856","14754, 14801",644,,
,,,,,,
"17742,17744,5938","10374,15271,11390,5702","16200,16206,16207","10842,12291,17033","14215,11001,17443,11002",,
"15946,15947,15948","17848,5861","17196,7740,16808,16964",12420,"17859,17860,17861",,
"17742,17875,17744","5702,11390",16197,11279,"17443,17444,17445",,
"15946,15954,15952,15953,11764","17856,17857",17195,"15188,15167","11412,14636,9899",,
"16160,16161",11390,,"17340,17341,17342",,,
,,"15298,15302,15514",,"17854,17855",,
,,,,,,
"18003,17742","  15521,15522



",3396,"17340, 17341,17342","14223
",,
"15953,15954,18004,15954
","
17316,15437,18008","15298, 15299,15303



",No video," 17559,5988",,
"15157, 11631","17940,17941,16054,17942,
18011
"," 7352,11007
","17340,17341,17342
","
18027,18028,18031",,
"
18005","
18012","1,530,215,629",18094,"14343, 14368, 14358,14369,14359

",,
"11633, 592, 13040


",50297,"5543, 5103

","18017,18018,18019", 11391,,
,"
18008",,15164,,,
,,,,,,
"
 4648,18168,14598, 18167, 12706


","15521,15522
","
5142,5103"," 12613,12632

","
18211,17444,14223


",,
" 15346"," 18185,18186
",15303,"635,12539,12526
","
18212",,
"18170,18171,
18172,18174,18175,18176",15522,"
13060,18192,18193"," 12848, 12986,12987


","12425,18213,18214",,
"
3651,810","
13772,13776,18188,18189","
18194,15515"," 15164,18210

"," 781,944,18215",,
" 18170, 18171,18172,18173,18174, 18175, 18176"," 6287,9840
","18196,18199,18202,18204,
18205,18206, 13193
"," 13036,13037, 13038

","12284,11889,11887,  11734,11735
",,
"
18178,18179,18180,18181","
13772,13776,18189"," 14196,62,15961
","
18147","
18216,18217",,
,,,,,,
15406,10228,"4704,13131,4942,18273","15521,17352",11884,,
"17840,18181","11238,11276","62,630","14702,15164","
17861",,
"16639,4472,3476","13929,13930,13931,13933","3450,18275,18273","12848,13037","12629,17530",,
16396,"18272,11724","13655,18277","17934,17867","
6380,3859",,
,,,,,,
,,,,,,
,,,,,,
"5101,5609","4354,14127","13701,18364,18365,13705,13709",12613,12771,,
"6507,15954",11276,"
12435",13786,"18369,1290",,
"5609,5101",14127,"18366,11447,11448,11449",12986,"17837,17838,11884",,
7220,"
11238,18272,11722","18367,13989,3664,10738,10739","17671,12756,13779","18370,13139,12835,14766",,
"15099,15100","614,14127",13705,,"12629,17823",,
"15899,15900,7615","14783,14209,14856","13133,3664,11405,10738,10829",14849,18374,,
,,,,,,
"
587,18474","
18483"," 17436,13709","
18495,13038",No Video,,
"
612,18018,18475","
18484,607,18485,18486","
6303,3928,10739,18493","
18508,18509,4472","
4783,18504",,
"18476,18477,18478,18479,18480","
612,18487,6437,18488,18489","
18505,18506","
10225","55,18499,18500
",,
"
4551,18481,612,18482,18475",No video,"
16095,10829","9851,14826,18550,18551","
17859",,
,,,"
18496,18497,18498,11307","
18501,18502,18503,645,11404",,
,,"
9890,3928,18493",,,,
,,,,,,
"
18669","1442,18676,18677,18678","4654,18684,4699,18685,18686","
18496,18497,18498,11307","10361
",,
"15899, 15900","12565,16640,16641,16642","18687,3664,18688,18689,3928,18690","14849,18697,18698","641,8598, 17327

",,
"18670,18671","
18679,18678,18679
","3431,18694,4654,18696",No video,"
18700,18701",,
" 18672,18673, 18674,18675
 

","
18680,18681,18682,18683"," 18691,3537,16856,18699
","17953,17954,17873",5988,,
,,,,,,
,,,,,,
,,,,,,
